LIMIT_BAL,BILL_AMOUNT,JOB,SEX,EDUCATION,MARRIAGE,AGE,PAY_DUE
240000,12212,Lawyer,Any,Graduate School,Single,2,No
180000,274731,Artist,Any,Graduate School,Married,2,No
260000,49657,Artist,Any,Graduate School,Married,2,No
110000,0,Artist,Any,Graduate School,Married,2,Yes
230000,0,Artist,Any,Graduate School,Married,2,No
260000,16426,Artist,Any,Graduate School,Married,2,No
20000,15912,Artist,Any,Graduate School,Married,2,No
130000,19161,Artist,Any,Graduate School,Married,2,Yes
30000,16496,Artist,Any,Graduate School,Married,2,No
360000,12339,Artist,Any,Graduate School,Married,2,No
160000,5233,Artist,Any,Graduate School,Married,2,No
270000,18751,Artist,Any,Graduate School,Married,2,No
50000,34976,Artist,Any,Graduate School,Married,2,No
230000,660,Artist,Any,Graduate School,Married,2,No
320000,247276,Artist,Any,Graduate School,Married,2,No
160000,316,Artist,Any,Graduate School,Married,2,No
50000,47858,Artist,Any,Graduate School,Married,2,Yes
700000,99259,Artist,Any,Graduate School,Married,2,No
490000,4290,Artist,Any,Graduate School,Married,2,No
200000,3877,Artist,Any,Graduate School,Married,2,No
200000,0,Artist,Any,Graduate School,Married,2,No
110000,8481,Artist,Any,Graduate School,Married,2,No
200000,6206,Artist,Any,Graduate School,Married,2,Yes
360000,0,Artist,Any,Graduate School,Married,2,Yes
380000,6614,Artist,Any,Graduate School,Married,2,No
360000,0,Artist,Any,Graduate School,Married,2,No
210000,211749,Artist,Any,Graduate School,Married,2,No
50000,8014,Artist,Any,Graduate School,Married,2,No
150000,99855,Artist,Any,Graduate School,Married,2,No
210000,76089,Artist,Any,Graduate School,Married,2,Yes
360000,1761,Artist,Any,Graduate School,Married,2,No
210000,0,Artist,Any,Graduate School,Married,2,No
320000,291,Artist,Any,Graduate School,Married,2,Yes
440000,4330,Artist,Any,Graduate School,Married,2,No
150000,2977,Artist,Any,Graduate School,Married,2,Yes
290000,7064,Artist,Any,Graduate School,Married,2,No
200000,25663,Artist,Any,Graduate School,Married,2,No
50000,33849,Artist,Any,Graduate School,Married,2,No
300000,0,Artist,Any,Graduate School,Married,2,No
500000,6057,Artist,Any,Graduate School,Married,2,No
290000,98441,Artist,Any,Graduate School,Married,2,No
100000,23070,Artist,Any,Graduate School,Married,2,No
500000,35176,Artist,Any,Graduate School,Married,2,Yes
450000,5512,Artist,Any,Graduate School,Married,2,Yes
130000,81313,Artist,Any,Graduate School,Married,2,No
460000,171,Artist,Any,Graduate School,Married,2,Yes
30000,0,Artist,Any,Graduate School,Single,1,No
200000,122923,Artist,Any,Graduate School,Single,1,No
230000,30141,Artist,Any,Graduate School,Single,1,No
180000,145403,Artist,Any,Graduate School,Single,1,No
120000,884,Artist,Any,Graduate School,Single,1,No
50000,2411,Artist,Any,Graduate School,Single,1,No
80000,53261,Artist,Any,Graduate School,Single,1,No
100000,96193,Artist,Any,Graduate School,Single,1,Yes
230000,0,Artist,Any,Graduate School,Single,1,No
140000,10833,Artist,Any,Graduate School,Single,1,No
70000,55664,Artist,Any,Graduate School,Single,1,No
140000,13424,Artist,Any,Graduate School,Single,1,No
110000,1064,Artist,Any,Graduate School,Single,1,No
90000,84710,Artist,Any,Graduate School,Single,1,No
210000,11442,Artist,Any,Graduate School,Single,1,No
100000,79580,Artist,Any,Graduate School,Single,1,Yes
230000,0,Artist,Any,Graduate School,Single,1,No
230000,6666,Artist,Any,Graduate School,Single,1,No
50000,35084,Artist,Any,Graduate School,Single,1,No
40000,11058,Artist,Any,Graduate School,Single,1,Yes
320000,137574,Artist,Any,Graduate School,Single,1,No
50000,4187,Artist,Any,Graduate School,Single,1,Yes
360000,79837,Artist,Any,Graduate School,Single,1,No
90000,86014,Artist,Any,Graduate School,Single,1,No
140000,142428,Artist,Any,Graduate School,Single,1,No
90000,22109,Artist,Any,Graduate School,Single,1,No
130000,0,Artist,Any,Graduate School,Single,1,No
50000,42543,Artist,Any,Graduate School,Single,1,No
360000,15854,Artist,Any,Graduate School,Single,1,No
150000,50,Artist,Any,Graduate School,Single,1,No
70000,63903,Artist,Any,Graduate School,Single,1,No
360000,279846,Artist,Any,Graduate School,Single,1,Yes
140000,2937,Artist,Any,Graduate School,Single,1,No
160000,2198,Artist,Any,Graduate School,Single,1,Yes
60000,34735,Artist,Any,Graduate School,Single,1,No
310000,36513,Artist,Any,Graduate School,Single,1,No
20000,18738,Artist,Any,Graduate School,Single,1,No
130000,3820,Artist,Any,Graduate School,Single,1,No
60000,21501,Artist,Any,Graduate School,Single,1,No
180000,169263,Artist,Any,Graduate School,Single,1,No
120000,30101,Artist,Any,Graduate School,Single,1,No
210000,1360,Artist,Any,Graduate School,Single,1,No
20000,15829,Artist,Any,Graduate School,Single,1,No
230000,416,Artist,Any,Graduate School,Single,1,No
320000,55607,Artist,Any,Graduate School,Single,1,No
340000,172180,Artist,Any,Graduate School,Single,1,No
50000,586,Artist,Any,Graduate School,Single,1,Yes
140000,14943,Artist,Any,Graduate School,Single,1,No
20000,19990,Artist,Any,Graduate School,Single,1,No
50000,34422,Artist,Any,Graduate School,Single,1,No
80000,2673,Artist,Any,Graduate School,Single,1,No
120000,316,Artist,Any,Graduate School,Single,1,No
80000,81337,Artist,Any,Graduate School,Single,1,Yes
200000,157607,Artist,Any,Graduate School,Single,1,No
70000,71358,Artist,Any,Graduate School,Single,1,No
50000,10532,Artist,Any,Graduate School,Single,1,Yes
180000,23800,Artist,Any,Graduate School,Single,1,No
20000,6274,Artist,Any,Graduate School,Single,1,No
50000,629,Artist,Any,Graduate School,Single,1,No
290000,232523,Artist,Any,Graduate School,Single,1,No
120000,20874,Artist,Any,Graduate School,Single,1,No
50000,50716,Artist,Any,Graduate School,Single,1,Yes
240000,7744,Artist,Any,Graduate School,Single,1,No
240000,240248,Artist,Any,Graduate School,Single,1,No
40000,12308,Artist,Any,Graduate School,Single,1,No
160000,70243,Artist,Any,Graduate School,Single,1,No
50000,36794,Artist,Any,Graduate School,Single,1,Yes
90000,1179,Artist,Any,Graduate School,Single,1,No
50000,50963,Artist,Any,Graduate School,Single,1,No
510000,78331,Artist,Any,Graduate School,Single,1,No
290000,14931,Artist,Any,Graduate School,Single,1,No
320000,179226,Artist,Any,Graduate School,Single,1,No
100000,28383,Artist,Any,Graduate School,Single,1,Yes
120000,79072,Artist,Any,Graduate School,Single,1,No
190000,143464,Artist,Any,Graduate School,Single,1,No
200000,4890,Artist,Any,Graduate School,Single,1,No
120000,-8,Artist,Any,Graduate School,Single,1,No
200000,18630,Artist,Any,Graduate School,Single,1,No
310000,304329,Artist,Any,Graduate School,Single,1,No
280000,0,Artist,Any,Graduate School,Single,1,No
50000,41003,Artist,Any,Graduate School,Single,1,No
70000,70119,Artist,Any,Graduate School,Single,1,No
90000,32755,Artist,Any,Graduate School,Single,1,No
80000,26524,Artist,Any,Graduate School,Single,1,No
240000,25700,Artist,Any,Graduate School,Single,1,No
20000,390,Artist,Any,Graduate School,Single,1,Yes
180000,2049,Artist,Any,Graduate School,Single,1,No
50000,47726,Artist,Any,Graduate School,Single,1,Yes
70000,34985,Artist,Any,Graduate School,Single,1,Yes
60000,14072,Artist,Any,Graduate School,Single,1,No
180000,0,Artist,Any,Graduate School,Single,1,No
90000,4744,Artist,Any,Graduate School,Single,1,No
50000,0,Artist,Any,Graduate School,Single,1,Yes
70000,67521,Artist,Any,Graduate School,Single,1,No
210000,0,Artist,Any,Graduate School,Single,1,Yes
210000,300,Artist,Any,Graduate School,Single,1,No
80000,77024,Artist,Any,Graduate School,Single,1,Yes
100000,-2000,Artist,Any,Graduate School,Single,1,No
150000,17444,Artist,Any,Graduate School,Single,1,No
80000,42444,Artist,Any,Graduate School,Single,1,No
50000,-709,Artist,Any,Graduate School,Single,1,Yes
60000,19625,Artist,Any,Graduate School,Single,1,Yes
180000,11386,Artist,Any,Graduate School,Single,1,No
400000,203,Teacher,Any,Graduate School,Single,2,No
120000,1278,Teacher,Any,Graduate School,Single,2,No
220000,212795,Teacher,Any,Graduate School,Single,2,Yes
50000,7363,Teacher,Any,Graduate School,Single,2,No
160000,396,Teacher,Any,Graduate School,Single,2,No
120000,0,Teacher,Any,Graduate School,Single,2,Yes
500000,45106,Teacher,Any,Graduate School,Single,2,Yes
20000,10934,Teacher,Any,Graduate School,Single,2,No
230000,164634,Teacher,Any,Graduate School,Single,2,No
430000,29860,Teacher,Any,Graduate School,Single,2,No
150000,0,Teacher,Any,Graduate School,Single,2,No
240000,15432,Teacher,Any,Graduate School,Single,2,No
50000,47853,Teacher,Any,Graduate School,Single,2,Yes
500000,5379,Teacher,Any,Graduate School,Single,2,No
270000,0,Teacher,Any,Graduate School,Single,2,No
390000,85538,Teacher,Any,Graduate School,Single,2,No
20000,264,Teacher,Any,Graduate School,Single,2,No
140000,1034,Teacher,Any,Graduate School,Single,2,No
220000,203101,Teacher,Any,Graduate School,Single,2,Yes
200000,197236,Teacher,Any,Graduate School,Single,2,No
120000,882,Teacher,Any,Graduate School,Single,2,No
80000,0,Engineer,Any,Graduate School,Single,1,No
500000,31421,Engineer,Any,Graduate School,Single,1,No
200000,4935,Engineer,Any,Graduate School,Single,1,No
170000,131864,Engineer,Any,Graduate School,Single,1,Yes
50000,7010,Engineer,Any,Graduate School,Single,1,No
160000,146433,Engineer,Any,Graduate School,Single,1,No
360000,-8,Engineer,Any,Graduate School,Single,1,No
670000,244663,Engineer,Any,Graduate School,Single,1,No
180000,950,Engineer,Any,Graduate School,Single,1,No
50000,49946,Engineer,Any,Graduate School,Single,1,No
80000,16936,Engineer,Any,Graduate School,Single,1,Yes
150000,0,Engineer,Any,Graduate School,Single,1,No
60000,60381,Engineer,Any,Graduate School,Single,1,No
160000,13234,Engineer,Any,Graduate School,Single,1,No
150000,6708,Engineer,Any,Graduate School,Single,1,No
150000,1111,Engineer,Any,Graduate School,Single,1,Yes
200000,16093,Engineer,Any,Graduate School,Single,1,No
80000,0,Engineer,Any,Graduate School,Single,1,No
200000,156786,Engineer,Any,Graduate School,Single,1,No
10000,499,Engineer,Any,Graduate School,Single,1,Yes
90000,88345,Engineer,Any,Graduate School,Single,1,No
130000,-2000,Engineer,Any,Graduate School,Single,1,Yes
250000,70887,Engineer,Any,Graduate School,Single,1,No
30000,1512,Engineer,Any,Graduate School,Single,1,No
50000,50801,Engineer,Any,Graduate School,Single,1,No
20000,1199,Engineer,Any,Graduate School,Single,1,No
60000,29649,Engineer,Any,Graduate School,Single,1,No
50000,30400,Engineer,Any,Graduate School,Married,2,No
220000,996,Engineer,Any,Graduate School,Married,2,No
400000,1107,Engineer,Any,Graduate School,Married,2,No
280000,58983,Engineer,Any,Graduate School,Married,2,No
200000,123337,Engineer,Any,Graduate School,Married,2,No
300000,8385,Engineer,Any,Graduate School,Married,2,No
360000,40434,Engineer,Any,Graduate School,Married,2,No
50000,42549,Engineer,Any,Graduate School,Married,2,No
70000,51959,Engineer,Any,Graduate School,Married,2,No
200000,2552,Engineer,Any,Graduate School,Married,2,No
360000,780,Engineer,Any,Graduate School,Married,2,Yes
250000,141223,Engineer,Any,Graduate School,Married,2,No
500000,412,Engineer,Any,Graduate School,Married,2,No
110000,92610,Doctor,Any,Graduate School,Single,4,Yes
300000,93738,Doctor,Any,Graduate School,Single,4,Yes
70000,43048,Doctor,Any,Graduate School,Single,4,No
360000,0,Doctor,Any,Graduate School,Single,1,No
60000,546,Doctor,Any,Graduate School,Single,1,Yes
40000,26461,Doctor,Any,Graduate School,Single,1,Yes
50000,49860,Doctor,Any,Graduate School,Single,1,No
20000,11968,Doctor,Any,Graduate School,Single,1,Yes
200000,871,Doctor,Any,Graduate School,Single,1,No
60000,20847,Doctor,Any,Graduate School,Single,1,No
140000,9305,Doctor,Any,Graduate School,Single,1,Yes
200000,194241,Doctor,Any,Graduate School,Single,1,No
460000,410033,Doctor,Any,Graduate School,Single,1,No
50000,8537,Doctor,Any,Graduate School,Single,1,No
50000,13801,Doctor,Any,Graduate School,Single,1,No
170000,1560,Doctor,Any,Graduate School,Single,1,No
90000,13141,Doctor,Any,Graduate School,Single,1,Yes
70000,48432,Doctor,Any,Graduate School,Single,1,No
40000,28926,Doctor,Any,Graduate School,Single,1,Yes
140000,0,Doctor,Any,Graduate School,Single,1,Yes
160000,1433,Doctor,Any,Graduate School,Single,1,No
90000,81111,Doctor,Any,Graduate School,Single,1,No
90000,39128,Doctor,Any,Graduate School,Single,1,No
80000,2109,Doctor,Any,Graduate School,Single,1,No
90000,7624,Doctor,Any,Graduate School,Single,1,No
140000,142087,Doctor,Any,Graduate School,Single,1,No
130000,84664,Doctor,Any,Graduate School,Single,1,No
30000,25265,Doctor,Any,Graduate School,Single,1,No
50000,50380,Doctor,Any,Graduate School,Single,1,No
440000,169661,Doctor,Any,Graduate School,Single,1,No
140000,0,Doctor,Any,Graduate School,Single,1,No
50000,15036,Doctor,Any,Graduate School,Single,1,No
230000,16646,Doctor,Any,Graduate School,Single,1,No
20000,17246,Doctor,Any,Graduate School,Single,1,No
200000,12716,Doctor,Any,Graduate School,Single,1,No
380000,0,Lawyer,Any,Graduate School,Single,1,Yes
180000,666,Lawyer,Any,Graduate School,Single,1,No
30000,26847,Lawyer,Any,Graduate School,Single,1,No
280000,191493,Lawyer,Any,Graduate School,Single,1,No
150000,10705,Lawyer,Any,Graduate School,Single,1,No
390000,386301,Lawyer,Any,Graduate School,Single,1,No
100000,55734,Lawyer,Any,Graduate School,Single,1,No
110000,92849,Lawyer,Any,Graduate School,Single,1,No
130000,4536,Lawyer,Any,Graduate School,Single,1,No
210000,0,Lawyer,Any,Graduate School,Single,1,Yes
110000,107195,Lawyer,Any,Graduate School,Single,1,No
150000,108817,Lawyer,Any,Graduate School,Single,1,Yes
60000,58839,Lawyer,Any,Graduate School,Single,1,No
150000,44795,Lawyer,Any,Graduate School,Single,1,Yes
230000,105217,Lawyer,Any,Graduate School,Single,1,No
190000,46923,Lawyer,Any,Graduate School,Single,1,Yes
50000,36806,Lawyer,Any,Graduate School,Single,1,No
50000,5137,Lawyer,Any,Graduate School,Single,1,No
220000,221268,Lawyer,Any,Graduate School,Single,1,Yes
120000,10172,Lawyer,Any,Graduate School,Single,1,No
60000,15380,Lawyer,Any,Graduate School,Single,1,No
150000,46224,Lawyer,Any,Graduate School,Single,1,No
150000,86009,Lawyer,Any,Graduate School,Single,1,No
100000,53494,Lawyer,Any,Graduate School,Single,1,No
180000,14670,Lawyer,Any,Graduate School,Single,1,No
450000,11343,Artist,Any,Graduate School,Single,3,No
190000,28204,Artist,Any,Graduate School,Single,3,Yes
200000,470,Artist,Any,Graduate School,Single,3,No
220000,44177,Artist,Any,Graduate School,Single,3,No
150000,1464,Artist,Any,Graduate School,Single,3,Yes
380000,350341,Artist,Any,Graduate School,Single,3,No
50000,50893,Artist,Any,Graduate School,Single,3,No
260000,316,Artist,Any,Graduate School,Single,3,No
40000,34871,Artist,Any,Graduate School,Single,3,No
30000,24357,Artist,Any,Graduate School,Single,3,No
30000,28033,Shopkeeper,Any,Graduate School,Married,3,No
260000,1086,Shopkeeper,Any,Graduate School,Married,3,No
230000,6865,Shopkeeper,Any,Graduate School,Married,3,No
270000,1250,Shopkeeper,Any,Graduate School,Married,3,No
160000,53935,Shopkeeper,Any,Graduate School,Married,3,No
360000,390,Shopkeeper,Any,Graduate School,Married,3,Yes
350000,148341,Broker,Any,Graduate School,Single,2,No
410000,5335,Broker,Any,Graduate School,Single,2,No
200000,38635,Broker,Any,Graduate School,Single,2,No
500000,2450,Broker,Any,Graduate School,Single,2,No
360000,389,Broker,Any,Graduate School,Single,2,No
160000,16922,Broker,Any,Graduate School,Single,2,No
200000,67002,Broker,Any,Graduate School,Single,2,No
250000,33323,Broker,Any,Graduate School,Single,2,No
300000,40779,Broker,Any,Graduate School,Single,2,No
140000,652,Broker,Any,Graduate School,Single,2,Yes
440000,330759,Broker,Any,Graduate School,Single,2,No
200000,0,Broker,Any,Graduate School,Single,2,Yes
80000,7988,Broker,Any,Graduate School,Single,2,No
170000,1561,Broker,Any,Graduate School,Single,2,No
260000,0,Broker,Any,Graduate School,Single,2,No
50000,23974,Broker,Any,Graduate School,Single,2,No
80000,0,Broker,Any,Graduate School,Single,2,Yes
140000,27123,Broker,Any,Graduate School,Single,2,No
360000,2616,Broker,Any,Graduate School,Single,2,No
270000,256402,Artist,Any,Graduate School,Married,3,No
300000,11973,Artist,Any,Graduate School,Married,3,Yes
350000,54969,Artist,Any,Graduate School,Married,3,No
260000,1215,Artist,Any,Graduate School,Married,3,Yes
500000,140,Artist,Any,Graduate School,Married,3,No
290000,194301,Artist,Any,Graduate School,Married,3,No
250000,17454,Artist,Any,Graduate School,Married,3,No
360000,179851,Artist,Any,Graduate School,Married,3,No
180000,4453,Artist,Any,Graduate School,Married,3,No
220000,0,Artist,Any,Graduate School,Married,3,Yes
390000,15026,Artist,Any,Graduate School,Married,3,No
140000,39716,Artist,Any,Graduate School,Married,3,No
170000,0,Artist,Any,Graduate School,Married,3,No
180000,173267,Artist,Any,Graduate School,Married,3,No
330000,2246,Artist,Any,Graduate School,Married,3,No
450000,697,Artist,Any,Graduate School,Married,3,No
160000,117126,Artist,Any,Graduate School,Married,3,No
260000,0,Artist,Any,Graduate School,Married,3,No
500000,407331,Artist,Any,Graduate School,Married,3,No
360000,92961,Artist,Any,Graduate School,Married,3,No
120000,20877,Artist,Any,Graduate School,Married,3,No
200000,19318,Artist,Any,Graduate School,Married,3,No
310000,14619,Artist,Any,Graduate School,Married,3,No
50000,508,Artist,Any,Graduate School,Married,3,No
360000,1548,Artist,Any,Graduate School,Married,3,No
300000,291,Artist,Any,Graduate School,Married,3,No
280000,28026,Artist,Any,Graduate School,Married,3,No
500000,0,Artist,Any,Graduate School,Married,3,Yes
610000,142764,Artist,Any,Graduate School,Single,2,No
680000,18314,Artist,Any,Graduate School,Single,2,No
370000,929,Artist,Any,Graduate School,Single,2,No
210000,291,Artist,Any,Graduate School,Single,2,No
150000,45000,Artist,Any,Graduate School,Single,2,No
180000,3139,Artist,Any,Graduate School,Single,2,No
260000,0,Artist,Any,Graduate School,Single,2,No
470000,5613,Artist,Any,Graduate School,Single,2,No
300000,0,Artist,Any,Graduate School,Single,2,Yes
100000,33752,Artist,Any,Graduate School,Single,2,Yes
350000,10900,Artist,Any,Graduate School,Single,2,No
290000,413,Artist,Any,Graduate School,Single,2,Yes
230000,761,Artist,Any,Graduate School,Single,2,No
280000,-32,Artist,Any,Graduate School,Single,2,No
230000,44734,Artist,Any,Graduate School,Single,2,No
180000,10737,Artist,Any,Graduate School,Single,2,No
70000,70524,Artist,Any,Graduate School,Single,2,No
150000,390,Artist,Any,Graduate School,Single,2,Yes
70000,70971,Artist,Any,Graduate School,Single,2,Yes
500000,-312,Artist,Any,Graduate School,Single,2,Yes
220000,0,Artist,Any,Graduate School,Single,2,No
300000,2166,Artist,Any,Graduate School,Single,2,No
200000,0,Artist,Any,Graduate School,Single,2,No
440000,0,Artist,Any,Graduate School,Single,2,No
230000,1545,Artist,Any,Graduate School,Single,2,No
230000,224020,Artist,Any,Graduate School,Single,2,No
180000,2217,Artist,Any,Graduate School,Single,2,No
360000,0,Artist,Any,Graduate School,Single,2,No
90000,90922,Artist,Any,Graduate School,Single,2,No
200000,-800,Artist,Any,Graduate School,Single,2,No
150000,96066,Artist,Any,Graduate School,Single,2,No
80000,10115,Artist,Any,Graduate School,Single,2,No
210000,161159,Artist,Any,Graduate School,Single,2,No
110000,12633,Artist,Any,Graduate School,Single,2,No
300000,264,Artist,Any,Graduate School,Single,2,No
350000,4439,Artist,Any,Graduate School,Single,2,No
360000,218668,Artist,Any,Graduate School,Single,2,No
200000,1587,Artist,Any,Graduate School,Single,2,No
140000,672,Artist,Any,Graduate School,Single,2,No
300000,43610,Artist,Any,Graduate School,Single,2,No
200000,100,Artist,Any,Graduate School,Single,2,No
310000,59901,Artist,Any,Graduate School,Single,2,No
270000,5780,Dealer,Any,Graduate School,Single,2,No
630000,440474,Dealer,Any,Graduate School,Single,2,No
200000,2159,Dealer,Any,Graduate School,Single,2,No
110000,108316,Dealer,Any,Graduate School,Single,2,No
360000,356913,Dealer,Any,Graduate School,Single,2,No
420000,1569,Dealer,Any,Graduate School,Single,2,No
200000,6618,Dealer,Any,Graduate School,Single,2,No
160000,83255,Dealer,Any,Graduate School,Single,2,No
280000,898,Dealer,Any,Graduate School,Single,2,Yes
80000,1927,Dealer,Any,Graduate School,Single,2,No
50000,47174,Dealer,Any,Graduate School,Single,2,No
500000,172041,Dealer,Any,Graduate School,Single,2,No
