39, Male, White, Bachelors, Never-married, United-States, State-gov, Adm-clerical, <=50K
47, Male, White, HS-grad, Divorced, United-States, Self-emp-inc, Exec-managerial, <=50K
43, Male, White, Some-college, Married-civ-spouse, United-States, Private, Tech-support, >50K
46, Male, White, 5th-6th, Married-civ-spouse, Mexico, Private, Machine-op-inspct, <=50K
35, Male, White, Assoc-voc, Married-civ-spouse, Puerto-Rico, Private, Other-service, <=50K
41, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Adm-clerical, <=50K
30, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Machine-op-inspct, <=50K
30, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Sales, <=50K
48, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Transport-moving, <=50K
42, Male, White, Doctorate, Married-civ-spouse, United-States, Private, Prof-specialty, >50K
29, Male, White, Some-college, Divorced, United-States, Private, Tech-support, <=50K
36, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Craft-repair, <=50K
28, Female, White, Some-college, Divorced, United-States, Private, Adm-clerical, <=50K
53, Female, White, HS-grad, Married-civ-spouse, United-States, Private, Adm-clerical, >50K
49, Male, White, Some-college, Married-civ-spouse, United-States, Self-emp-inc, Exec-managerial, >50K
19, Male, White, Some-college, Never-married, United-States, Private, Prof-specialty, <=50K
31, Female, Black, Bachelors, Separated, United-States, Private, Sales, <=50K
29, Male, White, Bachelors, Married-civ-spouse, United-States, Self-emp-not-inc, Sales, >50K
23, Male, White, Some-college, Never-married, United-States, Private, Machine-op-inspct, <=50K
79, Male, White, Some-college, Married-civ-spouse, United-States, Private, Prof-specialty, <=50K
27, Male, White, HS-grad, Never-married, Mexico, Private, Other-service, <=50K
40, Male, White, Assoc-acdm, Married-civ-spouse, United-States, Private, Adm-clerical, <=50K
18, Female, White, 11th, Never-married, United-States, Private, Other-service, <=50K
31, Male, White, 7th-8th, Married-civ-spouse, United-States, Local-gov, Farming-fishing, <=50K
18, Male, White, HS-grad, Never-married, United-States, Private, Sales, <=50K
52, Male, White, Bachelors, Married-civ-spouse, Cuba, Private, Other-service, <=50K
46, Female, White, HS-grad, Married-civ-spouse, United-States, Private, Other-service, <=50K
59, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Sales, <=50K
44, Female, White, HS-grad, Divorced, United-States, Private, Craft-repair, >50K
53, Female, White, HS-grad, Divorced, United-States, Private, Sales, <=50K
49, Male, White, HS-grad, Married-civ-spouse, United-States, Local-gov, Protective-serv, >50K
33, Male, White, Masters, Married-civ-spouse, United-States, Private, Prof-specialty, <=50K
30, Male, White, 9th, Never-married, United-States, Private, Sales, <=50K
43, Female, White, Doctorate, Never-married, United-States, Federal-gov, Prof-specialty, >50K
57, Male, White, Assoc-voc, Married-civ-spouse, United-States, Private, Prof-specialty, <=50K
37, Female, White, Some-college, Divorced, United-States, Private, Craft-repair, <=50K
28, Female, Black, Some-college, Divorced, United-States, Private, Machine-op-inspct, <=50K
34, Male, White, Bachelors, Married-civ-spouse, United-States, Local-gov, Protective-serv, >50K
29, Male, White, Some-college, Never-married, United-States, Local-gov, Handlers-cleaners, <=50K
48, Male, White, Doctorate, Married-civ-spouse, United-States, Self-emp-not-inc, Prof-specialty, >50K
37, Male, White, Some-college, Married-civ-spouse, United-States, Private, Sales, >50K
48, Female, White, Assoc-acdm, Divorced, England, Private, Exec-managerial, <=50K
32, Male, Black, HS-grad, Never-married, United-States, Federal-gov, Other-service, <=50K
76, Male, White, Masters, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
44, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
47, Female, White, Masters, Never-married, United-States, Self-emp-not-inc, Prof-specialty, <=50K
20, Female, White, Some-college, Never-married, United-States, Private, Tech-support, <=50K
29, Male, White, HS-grad, Never-married, United-States, Private, Craft-repair, <=50K
32, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-inc, Craft-repair, >50K
30, Male, White, 11th, Never-married, United-States, Private, Handlers-cleaners, <=50K
31, Female, White, HS-grad, Never-married, United-States, Local-gov, Adm-clerical, <=50K
42, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Handlers-cleaners, <=50K
24, Male, White, Bachelors, Never-married, United-States, Private, Sales, <=50K
38, Male, White, Prof-school, Married-civ-spouse, United-States, Private, Prof-specialty, >50K
56, Male, White, HS-grad, Married-civ-spouse, Canada, Self-emp-not-inc, Other-service, >50K
28, Female, White, Some-college, Married-civ-spouse, United-States, Private, Sales, <=50K
36, Female, White, HS-grad, Never-married, United-States, Private, Machine-op-inspct, <=50K
53, Male, White, 9th, Married-civ-spouse, United-States, Private, Handlers-cleaners, <=50K
56, Male, White, Some-college, Married-civ-spouse, United-States, Self-emp-inc, Sales, <=50K
49, Male, Black, Assoc-voc, Married-civ-spouse, United-States, Local-gov, Craft-repair, >50K
55, Male, White, Some-college, Married-civ-spouse, United-States, Private, Sales, <=50K
22, Male, White, HS-grad, Never-married, United-States, Private, Craft-repair, <=50K
21, Female, White, Some-college, Never-married, United-States, Private, Other-service, <=50K
40, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Exec-managerial, <=50K
30, Male, Black, Bachelors, Never-married, Germany, Private, Exec-managerial, <=50K
29, Male, White, Bachelors, Married-civ-spouse, United-States, State-gov, Prof-specialty, >50K
19, Male, Black, Some-college, Never-married, United-States, Private, Other-service, <=50K
47, Female, White, Bachelors, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
20, Female, White, Some-college, Never-married, United-States, Private, Adm-clerical, <=50K
31, Male, White, Assoc-acdm, Married-civ-spouse, United-States, Private, Adm-clerical, >50K
39, Male, White, Some-college, Divorced, United-States, Private, Craft-repair, <=50K
28, Female, White, Assoc-acdm, Never-married, United-States, Private, Sales, <=50K
24, Female, White, HS-grad, Never-married, United-States, Private, Other-service, <=50K
38, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-not-inc, Craft-repair, <=50K
37, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Sales, <=50K
46, Female, Black, Assoc-acdm, Divorced, United-States, Private, Tech-support, <=50K
38, Male, White, Masters, Married-civ-spouse, Iran, Federal-gov, Prof-specialty, >50K
43, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-not-inc, Craft-repair, <=50K
27, Female, White, Assoc-voc, Married-civ-spouse, United-States, Private, Adm-clerical, <=50K
20, Male, White, Some-college, Never-married, United-States, Private, Sales, <=50K
49, Male, Asian-Pac-Islander, Some-college, Married-civ-spouse, United-States, Private, Craft-repair, >50K
61, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-inc, Craft-repair, <=50K
27, Female, White, Some-college, Never-married, United-States, Private, Sales, <=50K
19, Male, White, Some-college, Never-married, Mexico, Private, Other-service, <=50K
45, Female, White, Assoc-voc, Never-married, United-States, Private, Prof-specialty, >50K
70, Male, White, Some-college, Never-married, United-States, Private, Tech-support, <=50K
31, Female, Black, HS-grad, Never-married, United-States, Private, Transport-moving, <=50K
22, Male, White, Some-college, Married-civ-spouse, United-States, Private, Other-service, <=50K
36, Female, White, HS-grad, Widowed, United-States, Private, Other-service, <=50K
64, Male, White, 11th, Married-civ-spouse, United-States, Private, Craft-repair, <=50K
47, Female, White, Some-college, Divorced, Mexico, Local-gov, Adm-clerical, <=50K
34, Female, White, HS-grad, Never-married, United-States, Private, Adm-clerical, <=50K
33, Female, Asian-Pac-Islander, Bachelors, Never-married, Philippines, Private, Exec-managerial, <=50K
21, Male, White, HS-grad, Never-married, United-States, Private, Craft-repair, <=50K
48, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Craft-repair, <=50K
23, Male, White, Bachelors, Never-married, United-States, Private, Handlers-cleaners, <=50K
71, Male, Black, Some-college, Separated, United-States, Self-emp-not-inc, Sales, <=50K
29, Male, White, HS-grad, Divorced, United-States, Private, Craft-repair, <=50K
42, Male, Black, Bachelors, Separated, United-States, Private, Other-service, <=50K
25, Female, White, HS-grad, Never-married, United-States, Private, Other-service, <=50K
44, Female, Asian-Pac-Islander, Masters, Divorced, United-States, Self-emp-inc, Exec-managerial, <=50K
28, Female, Asian-Pac-Islander, HS-grad, Never-married, England, Private, Exec-managerial, <=50K
45, Male, White, Masters, Married-civ-spouse, United-States, Self-emp-not-inc, Sales, >50K
36, Female, White, Some-college, Divorced, Mexico, Private, Other-service, <=50K
39, Male, White, Assoc-acdm, Never-married, United-States, Federal-gov, Exec-managerial, <=50K
46, Male, White, Masters, Widowed, United-States, State-gov, Protective-serv, <=50K
18, Male, White, 11th, Never-married, United-States, Private, Handlers-cleaners, <=50K
66, Female, White, Assoc-voc, Widowed, United-States, Local-gov, Prof-specialty, <=50K
27, Male, White, HS-grad, Never-married, United-States, Private, Other-service, <=50K
28, Male, White, HS-grad, Married-civ-spouse, United-States, State-gov, Protective-serv, <=50K
51, Male, White, Some-college, Married-civ-spouse, United-States, Private, Sales, >50K
27, Male, White, Bachelors, Never-married, United-States, Private, Craft-repair, <=50K
28, Male, White, Bachelors, Married-civ-spouse, United-States, State-gov, Prof-specialty, >50K
27, Female, White, HS-grad, Married-spouse-absent, United-States, Private, Sales, <=50K
21, Male, Black, HS-grad, Never-married, United-States, Private, Craft-repair, <=50K
34, Male, Black, HS-grad, Never-married, United-States, Private, Handlers-cleaners, <=50K
18, Male, White, HS-grad, Never-married, United-States, Private, Other-service, <=50K
33, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Prof-specialty, <=50K
44, Male, Black, Some-college, Married-civ-spouse, United-States, Local-gov, Exec-managerial, >50K
43, Female, White, Some-college, Divorced, United-States, Private, Adm-clerical, <=50K
30, Male, Black, Some-college, Never-married, United-States, Private, Craft-repair, <=50K
40, Male, White, 7th-8th, Married-civ-spouse, Mexico, Private, Machine-op-inspct, >50K
37, Male, White, Some-college, Married-civ-spouse, United-States, Federal-gov, Adm-clerical, >50K
34, Male, Black, HS-grad, Married-civ-spouse, United-States, Private, Adm-clerical, <=50K
41, Female, White, Bachelors, Divorced, United-States, Self-emp-not-inc, Exec-managerial, <=50K
31, Female, White, Masters, Married-civ-spouse, United-States, Private, Prof-specialty, <=50K
58, Male, White, Doctorate, Married-civ-spouse, United-States, State-gov, Prof-specialty, >50K
38, Female, Black, Some-college, Divorced, United-States, Private, Machine-op-inspct, <=50K
24, Male, White, Some-college, Married-civ-spouse, United-States, Private, Machine-op-inspct, <=50K
41, Male, Black, Bachelors, Married-civ-spouse, United-States, Local-gov, Craft-repair, <=50K
47, Male, White, Some-college, Married-civ-spouse, United-States, Private, Tech-support, <=50K
41, Male, White, Bachelors, Married-civ-spouse, United-States, Federal-gov, Tech-support, <=50K
23, Male, White, 5th-6th, Married-civ-spouse, Mexico, Private, Transport-moving, <=50K
36, Male, White, Some-college, Divorced, United-States, Private, Craft-repair, <=50K
40, Female, White, Masters, Never-married, United-States, Federal-gov, Exec-managerial, >50K
35, Male, White, Masters, Married-civ-spouse, United-States, Private, Prof-specialty, >50K
24, Male, White, HS-grad, Never-married, United-States, Self-emp-not-inc, Sales, <=50K
26, Female, White, Masters, Never-married, United-States, Private, Prof-specialty, <=50K
51, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
42, Female, White, Some-college, Never-married, United-States, Local-gov, Prof-specialty, <=50K
37, Female, White, HS-grad, Divorced, United-States, State-gov, Adm-clerical, <=50K
18, Female, White, 11th, Never-married, United-States, Private, Sales, <=50K
36, Male, Black, Bachelors, Married-civ-spouse, United-States, Private, Other-service, >50K
35, Male, White, HS-grad, Divorced, United-States, Private, Craft-repair, <=50K
58, Female, White, HS-grad, Married-civ-spouse, United-States, Self-emp-inc, Sales, >50K
17, Female, White, 11th, Never-married, United-States, Private, Sales, <=50K
44, Male, Black, HS-grad, Married-civ-spouse, United-States, Local-gov, Transport-moving, <=50K
37, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Craft-repair, >50K
35, Female, Amer-Indian-Eskimo, Some-college, Never-married, United-States, Private, Sales, <=50K
60, Male, Asian-Pac-Islander, HS-grad, Married-civ-spouse, United-States, Private, Craft-repair, <=50K
54, Male, White, 7th-8th, Married-civ-spouse, United-States, Self-emp-inc, Machine-op-inspct, >50K
37, Male, Black, Bachelors, Never-married, United-States, Private, Exec-managerial, >50K
50, Female, White, Assoc-acdm, Divorced, United-States, Private, Sales, <=50K
38, Male, White, Bachelors, Married-civ-spouse, Poland, Private, Sales, <=50K
45, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Prof-specialty, <=50K
25, Male, White, 10th, Never-married, United-States, Private, Craft-repair, <=50K
31, Male, White, Some-college, Married-civ-spouse, United-States, Private, Handlers-cleaners, <=50K
90, Male, Black, HS-grad, Never-married, United-States, Private, Other-service, <=50K
54, Male, Black, HS-grad, Married-civ-spouse, United-States, Private, Adm-clerical, <=50K
53, Female, White, Preschool, Never-married, United-States, Local-gov, Machine-op-inspct, <=50K
18, Female, White, HS-grad, Never-married, United-States, Private, Sales, <=50K
66, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-not-inc, Farming-fishing, <=50K
75, Female, White, Assoc-voc, Widowed, Columbia, Private, Adm-clerical, <=50K
65, Female, White, HS-grad, Divorced, United-States, Private, Adm-clerical, <=50K
35, Male, Black, 11th, Separated, United-States, Private, Transport-moving, <=50K
41, Female, Black, HS-grad, Divorced, United-States, Private, Sales, <=50K
25, Male, White, Some-college, Never-married, United-States, Private, Adm-clerical, <=50K
33, Female, Other, Some-college, Divorced, United-States, Private, Craft-repair, <=50K
28, Male, White, Prof-school, Never-married, United-States, Private, Prof-specialty, >50K
59, Male, White, HS-grad, Married-civ-spouse, United-States, State-gov, Other-service, <=50K
40, Female, White, Some-college, Never-married, United-States, State-gov, Adm-clerical, <=50K
41, Male, White, Bachelors, Married-civ-spouse, Iran, Private, Exec-managerial, >50K
38, Male, White, Masters, Married-civ-spouse, United-States, Local-gov, Exec-managerial, >50K
23, Male, White, HS-grad, Never-married, United-States, Private, Transport-moving, <=50K
40, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Prof-specialty, >50K
41, Female, White, HS-grad, Married-civ-spouse, United-States, Self-emp-not-inc, Other-service, <=50K
24, Male, White, Assoc-acdm, Married-civ-spouse, United-States, State-gov, Protective-serv, <=50K
38, Male, White, Some-college, Divorced, United-States, Private, Craft-repair, <=50K
58, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Adm-clerical, >50K
32, Female, White, HS-grad, Never-married, United-States, Private, Other-service, <=50K
40, Male, White, Assoc-acdm, Married-civ-spouse, United-States, Private, Tech-support, >50K
41, Female, White, Prof-school, Married-civ-spouse, United-States, Private, Prof-specialty, >50K
42, Female, Black, Bachelors, Married-civ-spouse, United-States, Private, Adm-clerical, <=50K
59, Female, Black, 10th, Widowed, United-States, Local-gov, Other-service, <=50K
19, Male, White, Some-college, Never-married, United-States, Local-gov, Adm-clerical, <=50K
58, Male, White, Some-college, Never-married, United-States, Private, Transport-moving, <=50K
42, Male, Asian-Pac-Islander, HS-grad, Married-civ-spouse, Cambodia, Self-emp-not-inc, Farming-fishing, >50K
20, Female, White, HS-grad, Never-married, United-States, Private, Other-service, <=50K
32, Female, White, HS-grad, Separated, United-States, Private, Other-service, <=50K
45, Female, White, Assoc-voc, Widowed, United-States, Private, Exec-managerial, <=50K
50, Male, White, 7th-8th, Divorced, United-States, Private, Craft-repair, <=50K
36, Female, White, Bachelors, Divorced, United-States, Private, Prof-specialty, <=50K
45, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Sales, <=50K
17, Male, White, 11th, Never-married, United-States, Private, Other-service, <=50K
59, Male, White, Some-college, Married-civ-spouse, United-States, Private, Sales, <=50K
26, Male, White, 11th, Married-civ-spouse, United-States, Private, Craft-repair, <=50K
37, Male, Asian-Pac-Islander, Some-college, Married-civ-spouse, Thailand, Self-emp-inc, Exec-managerial, >50K
64, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
33, Female, White, Bachelors, Never-married, United-States, Private, Prof-specialty, <=50K
33, Female, White, HS-grad, Married-civ-spouse, United-States, Private, Craft-repair, >50K
61, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
17, Male, White, 9th, Never-married, United-States, Private, Other-service, <=50K
50, Male, White, Masters, Married-civ-spouse, United-States, Self-emp-not-inc, Farming-fishing, <=50K
27, Male, White, Masters, Never-married, United-States, Local-gov, Prof-specialty, <=50K
30, Female, White, HS-grad, Divorced, United-States, Private, Prof-specialty, <=50K
43, Male, Black, HS-grad, Married-civ-spouse, United-States, Private, Handlers-cleaners, <=50K
44, Male, White, Some-college, Married-civ-spouse, United-States, Private, Craft-repair, >50K
35, Female, White, Some-college, Never-married, United-States, Private, Exec-managerial, <=50K
25, Female, White, Some-college, Never-married, United-States, Private, Tech-support, <=50K
24, Female, White, Some-college, Married-civ-spouse, United-States, Private, Machine-op-inspct, >50K
22, Female, White, Bachelors, Never-married, Germany, Private, Prof-specialty, <=50K
42, Male, White, Some-college, Married-civ-spouse, United-States, Local-gov, Craft-repair, >50K
34, Female, Black, Assoc-acdm, Divorced, United-States, Private, Sales, <=50K
60, Female, White, Bachelors, Divorced, United-States, Private, Prof-specialty, <=50K
21, Male, White, HS-grad, Never-married, United-States, Private, Handlers-cleaners, <=50K
57, Male, White, Masters, Married-civ-spouse, United-States, Federal-gov, Sales, >50K
41, Male, White, Prof-school, Married-civ-spouse, United-States, Private, Prof-specialty, >50K
50, Male, White, Some-college, Divorced, United-States, Private, Other-service, <=50K
25, Female, White, Bachelors, Never-married, United-States, Private, Exec-managerial, <=50K
50, Male, White, 7th-8th, Married-civ-spouse, Ecuador, Private, Craft-repair, <=50K
36, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Prof-specialty, <=50K
31, Female, White, HS-grad, Divorced, United-States, Private, Prof-specialty, <=50K
29, Male, White, Bachelors, Never-married, United-States, Local-gov, Protective-serv, <=50K
21, Male, White, Some-college, Never-married, United-States, Private, Sales, <=50K
27, Female, Black, Bachelors, Never-married, United-States, Private, Tech-support, <=50K
65, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Transport-moving, <=50K
37, Female, White, Bachelors, Divorced, United-States, Self-emp-inc, Sales, <=50K
24, Male, White, HS-grad, Never-married, United-States, Private, Craft-repair, <=50K
38, Male, White, HS-grad, Divorced, United-States, Private, Sales, <=50K
48, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Adm-clerical, >50K
21, Female, Asian-Pac-Islander, Some-college, Never-married, United-States, Private, Other-service, <=50K
31, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Transport-moving, >50K
55, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Sales, >50K
24, Female, Asian-Pac-Islander, Some-college, Married-civ-spouse, Laos, Private, Adm-clerical, <=50K
43, Female, White, HS-grad, Divorced, United-States, Private, Adm-clerical, <=50K
26, Male, White, Assoc-acdm, Never-married, United-States, Private, Tech-support, <=50K
46, Female, White, Assoc-acdm, Never-married, United-States, Private, Prof-specialty, <=50K
35, Male, White, Assoc-acdm, Married-civ-spouse, United-States, Private, Adm-clerical, >50K
41, Male, White, Some-college, Married-civ-spouse, United-States, Self-emp-inc, Farming-fishing, >50K
26, Male, White, Bachelors, Never-married, United-States, Private, Sales, <=50K
34, Male, Asian-Pac-Islander, Masters, Married-civ-spouse, Taiwan, Private, Exec-managerial, >50K
36, Female, Black, Bachelors, Divorced, United-States, Self-emp-not-inc, Prof-specialty, >50K
22, Male, White, Some-college, Never-married, United-States, Private, Sales, <=50K
24, Male, White, Some-college, Never-married, United-States, Private, Machine-op-inspct, <=50K
77, Male, White, Some-college, Married-civ-spouse, United-States, Self-emp-not-inc, Sales, <=50K
22, Female, White, 5th-6th, Married-civ-spouse, Mexico, Private, Machine-op-inspct, <=50K
29, Female, White, Some-college, Never-married, United-States, Private, Tech-support, <=50K
62, Female, White, HS-grad, Widowed, United-States, Private, Other-service, <=50K
39, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-not-inc, Exec-managerial, <=50K
43, Male, White, Some-college, Married-civ-spouse, United-States, Private, Craft-repair, <=50K
35, Male, White, HS-grad, Divorced, United-States, Private, Transport-moving, <=50K
29, Female, White, 11th, Never-married, United-States, Private, Exec-managerial, <=50K
76, Male, White, Masters, Married-civ-spouse, United-States, Self-emp-not-inc, Craft-repair, <=50K
63, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-not-inc, Farming-fishing, <=50K
43, Female, White, Some-college, Married-civ-spouse, United-States, Private, Prof-specialty, >50K
58, Male, White, HS-grad, Married-civ-spouse, United-States, Self-emp-not-inc, Handlers-cleaners, <=50K
66, Male, White, HS-grad, Never-married, United-States, Private, Transport-moving, <=50K
41, Male, Black, Some-college, Never-married, United-States, Private, Craft-repair, <=50K
26, Male, White, Bachelors, Never-married, United-States, Private, Adm-clerical, <=50K
47, Male, White, Assoc-voc, Never-married, United-States, Private, Other-service, <=50K
55, Male, White, 10th, Married-civ-spouse, United-States, Local-gov, Adm-clerical, <=50K
53, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Transport-moving, <=50K
17, Male, White, 5th-6th, Never-married, Mexico, Private, Other-service, <=50K
30, Male, White, HS-grad, Never-married, United-States, Private, Craft-repair, <=50K
49, Male, White, Masters, Never-married, United-States, Private, Prof-specialty, <=50K
19, Male, Black, HS-grad, Never-married, Haiti, Private, Sales, <=50K
45, Male, Black, HS-grad, Married-civ-spouse, United-States, Private, Other-service, <=50K
26, Male, White, Assoc-acdm, Never-married, United-States, Private, Sales, <=50K
38, Male, White, Assoc-voc, Married-civ-spouse, United-States, Private, Craft-repair, >50K
36, Male, White, HS-grad, Married-civ-spouse, United-States, State-gov, Protective-serv, >50K
33, Male, White, HS-grad, Never-married, United-States, Private, Farming-fishing, <=50K
22, Female, Black, Some-college, Never-married, United-States, State-gov, Protective-serv, <=50K
43, Male, White, Bachelors, Never-married, United-States, Self-emp-not-inc, Sales, <=50K
56, Male, White, Assoc-acdm, Married-spouse-absent, Iran, Private, Other-service, <=50K
31, Male, White, Bachelors, Never-married, United-States, Private, Prof-specialty, <=50K
33, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
26, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Other-service, <=50K
33, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Exec-managerial, >50K
46, Male, White, 11th, Married-civ-spouse, United-States, Local-gov, Transport-moving, <=50K
38, Male, White, HS-grad, Married-civ-spouse, United-States, Federal-gov, Adm-clerical, >50K
65, Male, Other, 11th, Widowed, United-States, Private, Other-service, <=50K
40, Male, White, Assoc-voc, Married-civ-spouse, United-States, Private, Tech-support, >50K
42, Female, White, HS-grad, Married-civ-spouse, United-States, Private, Adm-clerical, <=50K
26, Male, White, 9th, Married-civ-spouse, Portugal, Self-emp-not-inc, Craft-repair, <=50K
36, Female, White, 10th, Married-civ-spouse, United-States, Private, Other-service, <=50K
62, Male, White, Masters, Married-civ-spouse, United-States, Private, Prof-specialty, >50K
43, Male, White, Bachelors, Married-civ-spouse, United-States, Private, Transport-moving, <=50K
43, Male, White, Bachelors, Divorced, United-States, Private, Exec-managerial, >50K
22, Male, White, HS-grad, Married-spouse-absent, United-States, Private, Sales, <=50K
28, Male, White, HS-grad, Married-civ-spouse, United-States, Private, Craft-repair, <=50K
56, Male, White, Some-college, Married-civ-spouse, United-States, Self-emp-not-inc, Sales, <=50K
22, Female, White, Assoc-acdm, Never-married, United-States, Private, Sales, <=50K
