Age,Sex,Race,Education,MaritalStatus,Country,WorkClass,Occupation,SalaryClass
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Machine-op-inspct,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Prof-specialty,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Machine-op-inspct,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Prof-specialty,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Machine-op-inspct,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Prof-specialty,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Prof-specialty,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Machine-op-inspct,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Machine-op-inspct,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Tech-support,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Prof-specialty,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Prof-specialty,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Prof-specialty,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Machine-op-inspct,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Machine-op-inspct,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Machine-op-inspct,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Machine-op-inspct,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Prof-specialty,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Prof-specialty,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Machine-op-inspct,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Machine-op-inspct,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Machine-op-inspct,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Prof-specialty,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Machine-op-inspct,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Machine-op-inspct,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Machine-op-inspct,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Craft-repair,<=50K
1,Any,Person,Graduate,spouse present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Tech-support,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,School,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Tech-support,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Tech-support,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Tech-support,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Tech-support,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Tech-support,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Tech-support,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Tech-support,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Tech-support,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Tech-support,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Tech-support,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Tech-support,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Tech-support,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Tech-support,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Tech-support,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Tech-support,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Tech-support,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Tech-support,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Prof-specialty,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Craft-repair,<=50K
2,Any,Person,Graduate,spouse not present,A*a,Employed,Machine-op-inspct,<=50K
